Data,Period,Organisation unit,Value
t33qItEEF1p,201403,RPNI2yciVPb,45.0
t33qItEEF1p,201403,HiSkD51XNEw,43.3
t33qItEEF1p,201403,La4FiUTG0Ed,131.3
t33qItEEF1p,201403,mC4qkTGiah3,68.0
t33qItEEF1p,201403,R6tG0IzAhpv,75.0
t33qItEEF1p,201403,kfyFrKOKqnz,0.0
t33qItEEF1p,201403,SiFad15yKhZ,70.9
t33qItEEF1p,201403,q6NwSRm7CoV,57.5
t33qItEEF1p,201403,R5DowWkZPmm,0.0
t33qItEEF1p,201403,UdcrfRV5diV,43.3
t33qItEEF1p,201403,wPQb02U3UHx,32.9
t33qItEEF1p,201403,SfTrvW441Q0,122.5
t33qItEEF1p,201403,LT6XGXS57II,45.0
t33qItEEF1p,201403,rKoTTNZLKaN,26.3
t33qItEEF1p,201403,ge7aE8co40H,126.7
t33qItEEF1p,201403,QsbKIv43xwM,56.7
t33qItEEF1p,201403,YTgby61ISnd,110.0
t33qItEEF1p,201403,AcjY7Ic6kUU,0.0
t33qItEEF1p,201403,FSrkhOVFdOk,82.5
t33qItEEF1p,201403,IrqA2mEn7lI,0.0
t33qItEEF1p,201403,BwF2JaC8lCL,113.3
t33qItEEF1p,201403,wgWlZhxXfS5,45.0
t33qItEEF1p,201403,tU13hbRnCGc,0.0
t33qItEEF1p,201403,KysFcG0IQYZ,98.6
t33qItEEF1p,201403,SKJI5xtKLmd,55.0
t33qItEEF1p,201403,VI8FnbLBPDD,73.3
t33qItEEF1p,201403,Udaaomim77o,35.0
t33qItEEF1p,201403,ClfJQm3Docv,119.2
t33qItEEF1p,201403,ovxDVLEpRgk,0.0
t33qItEEF1p,201403,XNmQ1GcM53S,54.2
t33qItEEF1p,201403,r7pU4IuyIJF,57.5
t33qItEEF1p,201403,oiQrJMqWJQ6,86.0
t33qItEEF1p,201403,JPl6BiRGUjp,71.9
t33qItEEF1p,201403,zi9hv7KzZVp,0.0
t33qItEEF1p,201403,FVZSGQeGAWy,30.0
t33qItEEF1p,201403,uAmB8MLWUbq,48.5
t33qItEEF1p,201403,uECirbmK3vj,105.0
t33qItEEF1p,201403,zQdh7P5efBl,36.7
t33qItEEF1p,201403,zqmymbY6VTU,52.5
t33qItEEF1p,201403,kKYdOJ0uRod,73.3
t33qItEEF1p,201403,xpXgPL892GT,31.3
t33qItEEF1p,201403,yeGUcHoOF0W,113.8
t33qItEEF1p,201403,JpOeRsaZHoG,108.8
t33qItEEF1p,201403,JWdMKPTg0HL,41.7
t33qItEEF1p,201403,yrxkpEWxooc,118.3
t33qItEEF1p,201403,gCRidS1x9ty,30.4
t33qItEEF1p,201403,ZqmBdrwI59g,65.0
t33qItEEF1p,201403,cLBvS1WGEQF,71.0
t33qItEEF1p,201403,iSzLcFdtWbX,0.0
t33qItEEF1p,201403,iE17KE2PvJf,61.3
t33qItEEF1p,201403,ZwfQDUAuF1E,89.2
t33qItEEF1p,201403,jqLcZtIyJim,38.3
t33qItEEF1p,201403,dU7dDBWWWDi,65.0
t33qItEEF1p,201403,FX5DGY6VxPS,107.5
t33qItEEF1p,201403,PoAHq41Wjsk,44.0
t33qItEEF1p,201403,NBZfDf5Rag9,116.7
t33qItEEF1p,201403,mrRGRJwEwUm,52.5
t33qItEEF1p,201403,d23ZMyDAOEE,117.5
t33qItEEF1p,201403,ldTs7l4tu6V,93.0
t33qItEEF1p,201403,MEAv0YmXK3C,0.0
t33qItEEF1p,201403,bArGQMJx5Vs,47.0
t33qItEEF1p,201403,Wl8S53qfNST,115.0
t33qItEEF1p,201403,kAyEVYlTCtX,76.7
t33qItEEF1p,201403,lqUH9qJYc2r,117.1
t33qItEEF1p,201403,jLbIZHuRAYh,85.0
t33qItEEF1p,201404,xuVsQTby6uM,73.3
t33qItEEF1p,201404,e9NLyDiExlF,80.0
t33qItEEF1p,201404,CXAJP0JoCDZ,102.0
t33qItEEF1p,201404,IKdUHYliWr5,79.0
t33qItEEF1p,201404,RUBAdXhzucO,111.3
t33qItEEF1p,201404,fS76SN2mDYs,110.9
t33qItEEF1p,201404,LbjgDaDXJRa,57.5
t33qItEEF1p,201404,RPNI2yciVPb,22.0
t33qItEEF1p,201404,HiSkD51XNEw,83.8
t33qItEEF1p,201404,La4FiUTG0Ed,23.8
t33qItEEF1p,201404,mC4qkTGiah3,111.7
t33qItEEF1p,201404,R6tG0IzAhpv,120.0
t33qItEEF1p,201404,kfyFrKOKqnz,26.3
t33qItEEF1p,201404,SiFad15yKhZ,102.3
t33qItEEF1p,201404,q6NwSRm7CoV,53.0
t33qItEEF1p,201404,R5DowWkZPmm,0.0
t33qItEEF1p,201404,UdcrfRV5diV,38.3
t33qItEEF1p,201404,wPQb02U3UHx,76.4
t33qItEEF1p,201404,SfTrvW441Q0,115.0
t33qItEEF1p,201404,LT6XGXS57II,53.0
t33qItEEF1p,201404,rKoTTNZLKaN,0.0
t33qItEEF1p,201404,TleFOlpaRAp,0.0
t33qItEEF1p,201404,ge7aE8co40H,116.7
t33qItEEF1p,201404,QsbKIv43xwM,21.0
t33qItEEF1p,201404,YTgby61ISnd,83.8
t33qItEEF1p,201404,AcjY7Ic6kUU,0.0
t33qItEEF1p,201404,FSrkhOVFdOk,65.0
t33qItEEF1p,201404,BwF2JaC8lCL,90.0
t33qItEEF1p,201404,wgWlZhxXfS5,64.0
t33qItEEF1p,201404,tU13hbRnCGc,38.3
t33qItEEF1p,201404,KysFcG0IQYZ,74.3
t33qItEEF1p,201404,SKJI5xtKLmd,57.5
t33qItEEF1p,201404,VI8FnbLBPDD,81.3
t33qItEEF1p,201404,Udaaomim77o,0.0
t33qItEEF1p,201404,ClfJQm3Docv,102.0
t33qItEEF1p,201404,ovxDVLEpRgk,67.5
t33qItEEF1p,201404,XNmQ1GcM53S,67.0
t33qItEEF1p,201404,r7pU4IuyIJF,55.0
t33qItEEF1p,201404,oiQrJMqWJQ6,93.8
t33qItEEF1p,201404,JPl6BiRGUjp,79.0
t33qItEEF1p,201404,zi9hv7KzZVp,70.0
t33qItEEF1p,201404,FVZSGQeGAWy,29.3
t33qItEEF1p,201404,uAmB8MLWUbq,110.8
t33qItEEF1p,201404,uECirbmK3vj,110.0
t33qItEEF1p,201404,zQdh7P5efBl,26.3
t33qItEEF1p,201404,zqmymbY6VTU,41.7
t33qItEEF1p,201404,kKYdOJ0uRod,125.0
t33qItEEF1p,201404,xpXgPL892GT,85.0
t33qItEEF1p,201404,yeGUcHoOF0W,101.0
t33qItEEF1p,201404,JpOeRsaZHoG,52.2
t33qItEEF1p,201404,JWdMKPTg0HL,63.8
t33qItEEF1p,201404,yrxkpEWxooc,118.3
t33qItEEF1p,201404,gCRidS1x9ty,97.0
t33qItEEF1p,201404,ZqmBdrwI59g,56.3
t33qItEEF1p,201404,cLBvS1WGEQF,58.3
t33qItEEF1p,201404,iSzLcFdtWbX,0.0
t33qItEEF1p,201404,iE17KE2PvJf,28.8
t33qItEEF1p,201404,ZwfQDUAuF1E,88.3
t33qItEEF1p,201404,jqLcZtIyJim,36.7
t33qItEEF1p,201404,dU7dDBWWWDi,56.3
t33qItEEF1p,201404,FX5DGY6VxPS,105.0
t33qItEEF1p,201404,PoAHq41Wjsk,98.0
t33qItEEF1p,201404,NBZfDf5Rag9,116.7
t33qItEEF1p,201404,mrRGRJwEwUm,0.0
t33qItEEF1p,201404,d23ZMyDAOEE,47.0
t33qItEEF1p,201404,ldTs7l4tu6V,97.0
t33qItEEF1p,201404,MEAv0YmXK3C,0.0
t33qItEEF1p,201404,bArGQMJx5Vs,85.0
t33qItEEF1p,201404,Wl8S53qfNST,60.0
t33qItEEF1p,201404,kAyEVYlTCtX,75.0
t33qItEEF1p,201404,lqUH9qJYc2r,142.0
t33qItEEF1p,201404,jLbIZHuRAYh,111.7
t33qItEEF1p,201405,xuVsQTby6uM,35.0
t33qItEEF1p,201405,e9NLyDiExlF,63.0
t33qItEEF1p,201405,CXAJP0JoCDZ,120.0
t33qItEEF1p,201405,IKdUHYliWr5,43.8
t33qItEEF1p,201405,RUBAdXhzucO,83.0
t33qItEEF1p,201405,fS76SN2mDYs,97.0
t33qItEEF1p,201405,LbjgDaDXJRa,111.7
t33qItEEF1p,201405,RPNI2yciVPb,44.0
t33qItEEF1p,201405,HiSkD51XNEw,80.0
t33qItEEF1p,201405,La4FiUTG0Ed,31.3
t33qItEEF1p,201405,mC4qkTGiah3,117.5
t33qItEEF1p,201405,R6tG0IzAhpv,71.3
t33qItEEF1p,201405,kfyFrKOKqnz,53.8
t33qItEEF1p,201405,SiFad15yKhZ,92.0
t33qItEEF1p,201405,q6NwSRm7CoV,30.0
t33qItEEF1p,201405,R5DowWkZPmm,0.0
t33qItEEF1p,201405,UdcrfRV5diV,43.3
t33qItEEF1p,201405,wPQb02U3UHx,39.2
t33qItEEF1p,201405,SfTrvW441Q0,122.5
t33qItEEF1p,201405,LT6XGXS57II,70.0
t33qItEEF1p,201405,rKoTTNZLKaN,35.0
t33qItEEF1p,201405,TleFOlpaRAp,36.7
t33qItEEF1p,201405,ge7aE8co40H,125.0
t33qItEEF1p,201405,QsbKIv43xwM,52.5
t33qItEEF1p,201405,YTgby61ISnd,110.0
t33qItEEF1p,201405,AcjY7Ic6kUU,0.0
t33qItEEF1p,201405,FSrkhOVFdOk,52.5
t33qItEEF1p,201405,BwF2JaC8lCL,68.0
t33qItEEF1p,201405,wgWlZhxXfS5,45.0
t33qItEEF1p,201405,tU13hbRnCGc,0.0
t33qItEEF1p,201405,KysFcG0IQYZ,145.0
t33qItEEF1p,201405,SKJI5xtKLmd,26.3
t33qItEEF1p,201405,VI8FnbLBPDD,105.0
t33qItEEF1p,201405,Udaaomim77o,35.0
t33qItEEF1p,201405,ClfJQm3Docv,100.0
t33qItEEF1p,201405,ovxDVLEpRgk,40.0
t33qItEEF1p,201405,XNmQ1GcM53S,48.0
t33qItEEF1p,201405,r7pU4IuyIJF,0.0
t33qItEEF1p,201405,oiQrJMqWJQ6,40.0
t33qItEEF1p,201405,JPl6BiRGUjp,60.0
t33qItEEF1p,201405,zi9hv7KzZVp,0.0
t33qItEEF1p,201405,FVZSGQeGAWy,69.0
t33qItEEF1p,201405,uAmB8MLWUbq,69.2
t33qItEEF1p,201405,uECirbmK3vj,109.0
t33qItEEF1p,201405,zQdh7P5efBl,35.0
t33qItEEF1p,201405,zqmymbY6VTU,76.7
t33qItEEF1p,201405,kKYdOJ0uRod,38.3
t33qItEEF1p,201405,xpXgPL892GT,43.3
t33qItEEF1p,201405,yeGUcHoOF0W,101.0
t33qItEEF1p,201405,JpOeRsaZHoG,75.0
t33qItEEF1p,201405,JWdMKPTg0HL,69.4
t33qItEEF1p,201405,yrxkpEWxooc,62.5
t33qItEEF1p,201405,gCRidS1x9ty,133.0
t33qItEEF1p,201405,ZqmBdrwI59g,55.0
t33qItEEF1p,201405,cLBvS1WGEQF,46.7
t33qItEEF1p,201405,iSzLcFdtWbX,0.0
t33qItEEF1p,201405,iE17KE2PvJf,36.7
t33qItEEF1p,201405,ZwfQDUAuF1E,18.0
t33qItEEF1p,201405,jqLcZtIyJim,103.8
t33qItEEF1p,201405,dU7dDBWWWDi,54.2
t33qItEEF1p,201405,FX5DGY6VxPS,0.0
t33qItEEF1p,201405,PoAHq41Wjsk,118.8
t33qItEEF1p,201405,NBZfDf5Rag9,116.7
t33qItEEF1p,201405,mrRGRJwEwUm,0.0
t33qItEEF1p,201405,d23ZMyDAOEE,48.0
t33qItEEF1p,201405,ldTs7l4tu6V,70.0
t33qItEEF1p,201405,MEAv0YmXK3C,0.0
t33qItEEF1p,201405,bArGQMJx5Vs,70.8
t33qItEEF1p,201405,Wl8S53qfNST,71.0
t33qItEEF1p,201405,kAyEVYlTCtX,73.3
t33qItEEF1p,201405,lqUH9qJYc2r,144.0
t33qItEEF1p,201405,jLbIZHuRAYh,58.8
t33qItEEF1p,201406,xuVsQTby6uM,36.7
t33qItEEF1p,201406,e9NLyDiExlF,21.0
t33qItEEF1p,201406,CXAJP0JoCDZ,123.8
t33qItEEF1p,201406,IKdUHYliWr5,58.8
t33qItEEF1p,201406,RUBAdXhzucO,106.7
t33qItEEF1p,201406,fS76SN2mDYs,80.0
t33qItEEF1p,201406,LbjgDaDXJRa,0.0
