Data,Period,Organisation unit,Value
BkGKNzv3Vn6,201405,IKdUHYliWr5,50.0
AMVejJGpKI9,201607,BwF2JaC8lCL,70.0
iIlheePZjCc,201607,FKvvYL7xV0p,20.0
VRD05emEwOF,201802,wPQb02U3UHx,88.0
iIlheePZjCc,201805,uECirbmK3vj,80.0
HIfJ6JvWQmQ,201608,rKoTTNZLKaN,20.0
oACe0uiAmnT,201701,mC4qkTGiah3,66.0
kuxcnLoB85c,201604,Udaaomim77o,20.0
mRVVnw1KKSL,201406,LbjgDaDXJRa,60.0
XkemTADiLv4,201801,FX5DGY6VxPS,42.0
HIfJ6JvWQmQ,201706,dU7dDBWWWDi,200.0
BkGKNzv3Vn6,201512,lqUH9qJYc2r,80.0
byrpD40AkQG,201405,SfTrvW441Q0,40.0
whXQzFlRT37,201705,QsbKIv43xwM,210.0
AMVejJGpKI9,201603,UdcrfRV5diV,70.0
whXQzFlRT37,201501,vmGyHazfngO,440.0
odmSZSezPsY,201702,vmGyHazfngO,30.0
oACe0uiAmnT,201712,q6NwSRm7CoV,366.0
byrpD40AkQG,201603,uAmB8MLWUbq,40.0
mRVVnw1KKSL,201404,La4FiUTG0Ed,80.0
vOaRpiWvl2K,201609,gCRidS1x9ty,312.0
iIlheePZjCc,201405,Wl8S53qfNST,40.0
byrpD40AkQG,201804,ldTs7l4tu6V,70.0
Gk6WlfVitbC,201608,ZqmBdrwI59g,40.0
iIlheePZjCc,201412,zi9hv7KzZVp,20.0
smag5V5gz0s,201401,ClfJQm3Docv,50.0
AMVejJGpKI9,201702,iSzLcFdtWbX,60.0
OKXUzudHulV,201606,XNmQ1GcM53S,159.0
VRD05emEwOF,201604,rKoTTNZLKaN,12.0
BQeaCpVaUYB,201712,YTgby61ISnd,4.0
XkemTADiLv4,201801,zQdh7P5efBl,10.0
VRD05emEwOF,201811,uAmB8MLWUbq,70.0
VRD05emEwOF,201503,jqLcZtIyJim,20.0
byrpD40AkQG,201804,zgh2xKB6gUo,10.0
s5PaJNvYa6i,201505,MEAv0YmXK3C,42.0
